stop_id,assigned_hub_id,dist_to_hub,daily_passengers,stop_name,assigned_hub_name
54,119,2.0,0.0,Neumarkt i.d. OPf. Ginsterweg 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
55,77,1.0,0.0,Neumarkt i.d. OPf. Hasenheide Kirche 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
56,77,2.0,0.0,Neumarkt i.d. OPf. Hasenheide Schule 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
57,119,3.0,0.0,Neumarkt i.d. OPf. Heideweg 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
58,96,4.0,0.0,Neumarkt i.d. OPf. Heiligenwiesen 1,Neumarkt i.d. OPf. Landratsamt 1
59,119,7.0,0.0,Neumarkt i.d. OPf. Helena 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
60,170,2.0,0.0,Neumarkt i.d. OPf. Hermann-Stehr-Str. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
61,96,2.0,0.0,Neumarkt i.d. OPf. Holzheim Schule 1,Neumarkt i.d. OPf. Landratsamt 1
62,170,5.0,0.0,Neumarkt i.d. OPf. Holzheim Schule 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
63,119,6.0,0.0,Neumarkt i.d. OPf. Hutäcker 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
64,119,6.0,0.0,Neumarkt i.d. OPf. Höhenberg im Tal 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
65,170,5.0,0.0,Neumarkt i.d. OPf. Höhenberg im Tal 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
66,119,2.0,0.0,Neumarkt i.d. OPf. Iberlsmühle 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
67,119,1.0,0.0,Neumarkt i.d. OPf. Ingolstädter Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
68,119,4.0,0.0,Neumarkt i.d. OPf. Ingolstädter Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
69,143,2.0,0.0,Neumarkt i.d. OPf. Johann-Mois-Ring 1,Neumarkt i.d. OPf. Rathaus 2
70,96,2.0,0.0,Neumarkt i.d. OPf. Johanneszentrum 1,Neumarkt i.d. OPf. Landratsamt 1
71,143,1.0,0.0,Neumarkt i.d. OPf. Johanneszentrum 2,Neumarkt i.d. OPf. Rathaus 2
72,96,1.0,0.0,Neumarkt i.d. OPf. Kapellenweg 1,Neumarkt i.d. OPf. Landratsamt 1
73,170,4.0,0.0,Neumarkt i.d. OPf. Kapuzinerhölzl 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
74,170,2.0,0.0,Neumarkt i.d. OPf. Karhof 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
75,119,3.0,0.0,Neumarkt i.d. OPf. Karl-Speier-Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
76,119,1.0,0.0,Neumarkt i.d. OPf. Karl-Speier-Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
77,77,0.0,0.0,Neumarkt i.d. OPf. Kerschensteinerstr. 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
78,119,2.0,0.0,Neumarkt i.d. OPf. Kerschensteinerstr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
79,119,2.0,0.0,Neumarkt i.d. OPf. Kettelerstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
80,170,5.0,0.0,Neumarkt i.d. OPf. Klebl Bauzentrum 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
81,119,6.0,0.0,Neumarkt i.d. OPf. Klebl Bauzentrum 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
82,170,3.0,0.0,Neumarkt i.d. OPf. Klebl Bauzentrum 41,Neumarkt i.d. OPf. Theo-Betz-Platz 2
83,119,1.0,0.0,Neumarkt i.d. OPf. Klebl Bauzentrum 42,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
84,96,1.0,0.0,Neumarkt i.d. OPf. Klinikum 1,Neumarkt i.d. OPf. Landratsamt 1
85,170,2.0,0.0,Neumarkt i.d. OPf. Klinikum 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
86,119,1.0,0.0,Neumarkt i.d. OPf. Klostertor 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
87,170,1.0,0.0,Neumarkt i.d. OPf. Klostertor 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
88,170,7.0,0.0,Neumarkt i.d. OPf. Kohlenbrunnermühlstr. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
89,143,1.0,0.0,Neumarkt i.d. OPf. Koppenmühle 1,Neumarkt i.d. OPf. Rathaus 2
90,143,3.0,0.0,Neumarkt i.d. OPf. Koppenmühlweg 1,Neumarkt i.d. OPf. Rathaus 2
91,143,2.0,0.0,Neumarkt i.d. OPf. Kornstr. 1,Neumarkt i.d. OPf. Rathaus 2
92,119,2.0,0.0,Neumarkt i.d. OPf. Kornstr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
93,96,5.0,0.0,Neumarkt i.d. OPf. Kreuzstr. 1,Neumarkt i.d. OPf. Landratsamt 1
94,143,4.0,0.0,Neumarkt i.d. OPf. Kreuzstr. 2,Neumarkt i.d. OPf. Rathaus 2
95,136,3.0,0.0,Neumarkt i.d. OPf. Landesgartenschau 1,Neumarkt i.d. OPf. Oberer Markt 2
96,96,0.0,0.0,Neumarkt i.d. OPf. Landratsamt 1,Neumarkt i.d. OPf. Landratsamt 1
97,143,1.0,0.0,Neumarkt i.d. OPf. Landratsamt 2,Neumarkt i.d. OPf. Rathaus 2
98,170,5.0,0.0,Neumarkt i.d. OPf. Leipziger Str. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
99,77,2.0,0.0,Neumarkt i.d. OPf. Ludwig-Wifling-Str. 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
100,119,2.0,0.0,Neumarkt i.d. OPf. Ludwig-Wifling-Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
101,119,3.0,0.0,Neumarkt i.d. OPf. Lähr 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
102,119,2.0,0.0,Neumarkt i.d. OPf. Maienbreite 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
103,170,4.0,0.0,Neumarkt i.d. OPf. Maienbreite 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
104,119,4.0,0.0,Neumarkt i.d. OPf. Mariahilfstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
105,170,3.0,0.0,Neumarkt i.d. OPf. Mariahilfstr. 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
106,119,2.0,0.0,Neumarkt i.d. OPf. Marienbader Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
107,119,2.0,0.0,Neumarkt i.d. OPf. Max-Künzel-Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
108,170,2.0,0.0,Neumarkt i.d. OPf. Medererstr. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
109,170,2.0,0.0,Neumarkt i.d. OPf. Medererstr. 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
